Date,TX_Price,TX_OI,Margin_Balance_Billion,ANC_Ratio_Min_Top4,ANC_Ratio_Min,CP_Rate
2026-07-22,44377.0,106920.0,93.59,23.3,20.85,1.62
2026-07-23,,,93.55,,,1.62
2026-07-24,44930.0,103097.0,93.5,23.3,20.85,1.62
2026-07-25,43905.0,102415.0,93.55,23.3,20.85,1.62
2026-07-26,43905.0,102415.0,93.55,23.3,20.85,1.62
2026-07-27,43905.0,102415.0,93.55,23.3,20.85,1.62
2026-07-28,43907.0,103970.0,92.72,23.3,20.85,1.62
2026-07-29,41613.0,104993.0,90.96,23.3,20.85,1.62
2026-07-30,40392.0,108507.0,87.65,23.3,20.85,1.62
2026-07-31,40270.0,108640.0,87.01,23.3,20.85,1.62
2026-08-01,43678.0,111302.0,91.44,23.3,20.85,1.62
2026-08-02,43678.0,111302.0,91.44,23.3,20.85,1.62
2026-08-03,43678.0,111302.0,91.44,23.3,20.85,1.62
2026-08-04,43230.0,109589.0,91.21,23.3,20.85,1.62
2026-08-05,43357.0,106602.0,90.32,23.3,20.85,1.62
2026-08-06,44514.0,106247.0,89.01,23.3,20.85,1.62
2026-08-07,44280.0,106827.0,89.58,23.3,20.85,1.62
2026-08-08,44349.0,102679.0,89.86,23.3,20.85,1.62
2026-08-09,44349.0,102679.0,,23.3,20.85,1.62
2026-08-10,44349.0,102679.0,89.86,23.3,20.85,1.62
2026-08-11,44987.0,101913.0,90.03,23.3,20.85,1.62
2026-08-12,45090.0,99034.0,89.71,23.3,20.85,1.62
2026-08-13,45528.0,95311.0,89.61,23.3,20.85,1.62
2026-08-14,46005.0,92571.0,89.7,23.3,20.85,1.62
2026-08-15,45841.0,84339.0,89.18,23.3,20.85,1.62
2026-08-16,45841.0,84339.0,89.18,23.3,20.85,1.62
