Date,Margin,Short
2019-08-27,7237397.0,449895.0
2019-08-28,7270407.0,439580.0
2019-08-29,7293302.0,449236.0
2019-08-30,7237500.0,454588.0
2019-09-02,7248454.0,464079.0
2019-09-03,7273533.0,460209.0
2019-09-04,7265533.0,469692.0
2019-09-05,7204415.0,499407.0
2019-09-06,7254193.0,491135.0
2019-09-09,7266302.0,519755.0
2019-09-10,7272151.0,538420.0
2019-09-11,7267246.0,589288.0
2019-09-12,7302502.0,626225.0
2019-09-16,7303502.0,658540.0
2019-09-17,7314369.0,691280.0
2019-09-18,7335399.0,701651.0
2019-09-19,7272231.0,738775.0
2019-09-20,7272087.0,764422.0
2019-09-23,7348033.0,777762.0
2019-09-24,7333497.0,785937.0
2019-09-25,7328490.0,792834.0
2019-09-26,7340606.0,791965.0
2019-09-27,7323626.0,783467.0
2019-10-01,7397388.0,815305.0
2019-10-02,7473200.0,797405.0
2019-10-03,7495748.0,650927.0
2019-10-04,7542057.0,676592.0
2019-10-07,7593241.0,691711.0
2019-10-08,7563759.0,694314.0
2019-10-09,7550549.0,661883.0
2019-10-14,7489186.0,659505.0
2019-10-15,7548870.0,726846.0
2019-10-16,7577754.0,762054.0
2019-10-17,7591841.0,776084.0
2019-10-18,7595198.0,781347.0
2019-10-21,7623493.0,781101.0
2019-10-22,7642221.0,808842.0
2019-10-23,7620441.0,808672.0
2019-10-24,7579201.0,825367.0
2019-10-25,7551494.0,825603.0
2019-10-28,7546271.0,816586.0
2019-10-29,7539171.0,814532.0
2019-10-30,7566103.0,817095.0
2019-10-31,7562622.0,818473.0
2019-11-01,7558475.0,823179.0
2019-11-04,7536431.0,832697.0
2019-11-05,7506025.0,848337.0
2019-11-06,7488610.0,860991.0
2019-11-07,7499322.0,850173.0
2019-11-08,7498351.0,852919.0
2019-11-11,7469237.0,846016.0
2019-11-12,7497382.0,848583.0
2019-11-13,7512943.0,844953.0
2019-11-14,7485571.0,850449.0
2019-11-15,7472173.0,853759.0
2019-11-18,7413920.0,822851.0
2019-11-19,7293032.0,757610.0
2019-11-20,7304940.0,731407.0
2019-11-21,7294774.0,733149.0
2019-11-22,7310114.0,751830.0
2019-11-25,7323116.0,758515.0
2019-11-26,7319096.0,756916.0
2019-11-27,7342806.0,730307.0
2019-11-28,7389590.0,711986.0
2019-11-29,7382148.0,722719.0
2019-12-02,7419003.0,704864.0
2019-12-03,7373600.0,634970.0
2019-12-04,7394928.0,625806.0
2019-12-05,7368865.0,610532.0
2019-12-06,7357531.0,618162.0
2019-12-09,7377640.0,616096.0
2019-12-10,7347508.0,605674.0
2019-12-11,7324754.0,602935.0
2019-12-12,7319379.0,612267.0
2019-12-13,7316519.0,654195.0
2019-12-16,7406316.0,675065.0
2019-12-17,7380290.0,657864.0
2019-12-18,7385477.0,654566.0
2019-12-19,7373026.0,630073.0
2019-12-20,7353066.0,629017.0
2019-12-23,7348491.0,615266.0
2019-12-24,7341045.0,625373.0
2019-12-25,7351330.0,622484.0
2019-12-26,7357328.0,623404.0
2019-12-27,7340419.0,633949.0
2019-12-30,7346072.0,629723.0
2019-12-31,7351642.0,616516.0
2020-01-02,7344427.0,654584.0
2020-01-03,7322773.0,652415.0
2020-01-06,7338109.0,690772.0
2020-01-07,7314998.0,691277.0
2020-01-08,7297808.0,662743.0
2020-01-09,7299099.0,717290.0
2020-01-10,7272800.0,755308.0
2020-01-13,7241277.0,790832.0
2020-01-14,7205153.0,801211.0
2020-01-15,7222716.0,808317.0
2020-01-16,7207098.0,806838.0
2020-01-17,7145199.0,762521.0
2020-01-20,7056987.0,742481.0
2020-01-30,6885972.0,644773.0
2020-01-31,6936672.0,602615.0
2020-02-03,6856109.0,601064.0
2020-02-04,6876052.0,632403.0
2020-02-05,6909184.0,656165.0
2020-02-06,6977455.0,659651.0
2020-02-07,6976492.0,671136.0
2020-02-10,6976124.0,705905.0
2020-02-11,6957940.0,695594.0
2020-02-12,6944430.0,719782.0
2020-02-13,6980150.0,732777.0
2020-02-14,6995622.0,746499.0
2020-02-17,6971074.0,742652.0
2020-02-18,7006394.0,746204.0
2020-02-19,6989335.0,738882.0
2020-02-20,6987662.0,740047.0
2020-02-21,6948224.0,739473.0
2020-02-24,6944807.0,791954.0
2020-02-25,6900294.0,804344.0
2020-02-26,6886063.0,846802.0
2020-02-27,6823225.0,844906.0
2020-03-02,6797590.0,846538.0
2020-03-03,6831055.0,861801.0
2020-03-04,6827550.0,880542.0
2020-03-05,6789128.0,902548.0
2020-03-06,6837578.0,898423.0
2020-03-09,6726564.0,863807.0
2020-03-10,6627325.0,840656.0
2020-03-11,6657677.0,765784.0
2020-03-12,6415875.0,721764.0
2020-03-13,6010866.0,637103.0
2020-03-16,5984724.0,633731.0
2020-03-17,5828993.0,604839.0
2020-03-18,5713923.0,561779.0
2020-03-19,5242797.0,424344.0
2020-03-20,5253370.0,467311.0
2020-03-23,5247136.0,469278.0
2020-03-24,5295844.0,473401.0
2020-03-25,5279786.0,491055.0
2020-03-26,5316635.0,512749.0
2020-03-27,5370326.0,543128.0
2020-03-30,5420444.0,546113.0
2020-03-31,5471770.0,556754.0
2020-04-01,5463820.0,541704.0
2020-04-06,5496478.0,535401.0
2020-04-07,5506839.0,540209.0
