Date,Adv,Dec,NH,NL
2020-08-01,,,46.0,7.0
2020-09-01,,,40.0,11.0
2020-10-01,,,14.0,26.0
2020-11-01,,,50.0,1.0
2020-12-01,,,56.0,2.0
2021-01-01,,,32.0,0.01
2021-02-01,,,41.0,5.0
2021-03-01,,,80.0,2.0
2021-04-01,,,127.0,6.0
2021-05-01,,,117.0,3.0
2021-06-01,,,45.0,4.0
2021-07-01,,,124.0,12.0
2021-08-01,,,100.0,5.0
2021-09-01,,,36.0,29.0
2021-10-01,,,108.0,29.0
2021-11-01,,,13.0,185.0
2021-12-01,,,87.0,15.0
2022-01-01,,,19.0,6.0
2022-02-01,,,66.0,25.0
2022-03-01,,,86.0,43.0
2022-04-01,,,15.0,135.0
2022-05-01,,,96.0,8.0
2022-06-01,,,13.0,220.0
2022-07-01,,,47.0,28.0
2022-08-01,,,8.0,128.0
2022-09-01,,,2.0,253.0
2022-10-01,,,68.0,22.0
2022-11-01,,,58.0,39.0
2022-12-01,,,23.0,23.0
2023-01-01,,,73.0,1.0
2023-02-01,,,48.0,27.0
2023-03-01,,,55.0,12.0
2023-04-01,,,59.0,23.0
2023-05-01,,,15.0,93.0
2023-06-01,,,198.0,11.0
2023-07-01,,,123.0,5.0
2023-08-01,,,60.0,16.0
2023-09-01,,,24.0,50.0
2023-10-01,,,10.0,82.0
2023-11-01,,,84.0,18.0
2023-12-01,,,66.0,7.0
2024-01-01,,,122.0,24.0
2024-02-01,,,165.0,20.0
2024-03-01,,,259.0,6.0
2024-04-01,,,53.0,32.0
2024-05-01,,,82.0,31.0
2024-06-01,,,58.0,37.0
2024-07-01,,,278.0,17.0
2024-08-01,,,154.0,21.0
2024-09-01,,,78.0,10.0
2024-10-01,,,64.0,65.0
2024-11-01,,,108.0,32.0
2024-12-01,,,15.0,20.0
2025-01-01,,,75.0,25.0
2025-02-01,,,53.0,123.0
2025-03-01,,,38.0,186.0
2025-04-01,,,26.0,24.0
2025-05-01,,,48.0,12.0
2025-06-01,,,82.0,11.0
2025-07-01,,,62.0,62.0
2025-08-01,,,76.0,5.0
2025-09-01,,,100.0,35.0
2025-10-01,,,48.0,89.0
2025-11-01,,,84.0,0.01
2025-12-01,,,10.0,25.0
